PHASE;DOY;MAX;SC
12;1;0;0,07
12;2;0;0,07
12;3;0;0,07
12;4;0;0,07
12;5;0;0,07
12;6;0;0,07
12;7;0;0,07
12;8;0;0,07
12;9;0;0,07
12;10;0;0,07
12;11;0;0,07
12;12;0;0,07
12;13;0;0,07
12;14;1;0,07
12;15;0;0,07
12;16;0;0,07
12;17;0;0,07
12;18;1;0,07
12;19;0;0,07
12;20;0;0,07
12;21;0;0,07
12;22;0;0,07
12;23;0;0,07
12;24;0;0,07
12;25;0;0,07
12;26;0;0,07
12;27;0;0,07
12;28;0;0,07
12;29;0;0,07
12;30;0;0,07
12;31;0;0,07
12;32;0;0,07
12;33;0;0,07
12;34;0;0,07
12;35;0;0,07
12;36;0;0,07
12;37;0;0,07
12;38;0;0,07
12;39;0;0,07
12;40;0;0,07
12;41;0;0,07
12;42;0;0,07
12;43;0;0,07
12;44;0;0,07
12;45;0;0,07
12;46;0;0,07
12;47;0;0,07
12;48;0;0,07
12;49;0;0,07
12;50;0;0,07
12;51;0;0,07
12;52;0;0,07
12;53;0;0,07
12;54;0;0,07
12;55;0;0,07
12;56;0;0,07
12;57;0;0,07
12;58;0;0,07
12;59;0;0,07
12;60;0;0,07
12;61;0;0,07
12;62;0;0,07
12;63;0;0,07
12;64;0;0,07
12;65;0;0,07
12;66;0;0,07
12;67;0;0,07
12;68;0;0,07
12;69;0;0,07
12;70;0;0,07
12;71;0;0,07
12;72;0;0,07
12;73;0;0,07
12;74;0;0,07
12;75;0;0,07
12;76;0;0,07
12;77;0;0,07
12;78;0;0,07
12;79;0;0,07
12;80;0;0,07
12;81;0;0,07
12;82;0;0,07
12;83;0;0,07
12;84;0;0,07
12;85;0;0,07
12;86;0;0,07
12;87;0;0,07
12;88;0;0,07
12;89;0;0,07
12;90;0;0,07
12;91;1;0,07
12;92;0;0,07
12;93;0;0,07
12;94;0;0,07
12;95;0;0,07
12;96;0;0,07
12;97;0;0,07
12;98;0;0,07
12;99;0;0,07
12;100;0;0,07
12;101;0;0,07
12;102;0;0,07
12;103;0;0,07
12;104;0;0,07
12;105;0;0,07
12;106;0;0,07
12;107;0;0,07
12;108;0;0,07
12;109;0;0,07
12;110;0;0,07
12;111;0;0,07
12;112;0;0,07
12;113;0;0,07
12;114;0;0,07
12;115;0;0,07
15;116;1;0,6
15;117;0;0,6
15;118;0;0,6
15;119;0;0,6
15;120;0;0,6
15;121;1;0,6
15;122;0;0,6
15;123;1;0,6
15;124;0;0,6
15;125;0;0,6
15;126;0;0,6
15;127;0;0,6
15;128;0;0,6
15;129;0;0,6
15;130;0;0,6
15;131;2;0,6
15;132;1;0,6
15;133;0;0,6
15;134;0;0,6
15;135;0;0,6
15;136;0;0,6
15;137;1;0,6
15;138;1;0,6
15;139;3;0,6
15;140;0;0,6
15;141;0;0,6
15;142;0;0,6
15;143;1;0,6
15;144;2;0,6
15;145;0;0,6
15;146;0;0,6
15;147;2;0,6
15;148;0;0,6
15;149;1;0,6
18;150;0;0,87
18;151;1;0,87
18;152;2;0,87
18;153;0;0,87
18;154;1;0,87
